yali1_gene	yali0_local_crosswalk	assigned_role	candidate_or_curated_accession	evidence_scope	sources	reference_reactions	reference_annotation_URIs	evidence_status	established_name	protein_function
YALI1B26679g	YALI0B20372g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062	https://identifiers.org/ncbigene/2907626;https://identifiers.org/uniprot/Q9UUU2;https://identifiers.org/kegg.genes/yli:2907626;https://identifiers.org/ec-code/7.1.1.2	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1C04281g	YALI0C03201g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062	https://identifiers.org/ncbigene/2909066	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1C17100g	YALI0C12210g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R305	https://identifiers.org/ncbigene/2910119	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1C25352g	YALI0C18205g	COQ5	Q6CBJ6	Existing curated candidate/annotation and local crosswalk; pathway role checked where discussed, not new native-locus enzymology or sequence identity certification	archived_gene_evidence;local_crosswalk;see_REPORT	R18	https://identifiers.org/ncbigene/2909994;https://identifiers.org/uniprot/A0A1D8NBN0;https://identifiers.org/kegg.genes/yli:2909994;https://identifiers.org/refseq/XP_501966.1;https://identifiers.org/ec-code/2.1.1.201	curated annotation; native locus/activity limits in evidence_scope	COQ5（家族/候选名称；证据范围见 evidence_scope）	candidate CoQ ring C-methyltransferase
YALI1C26017g	YALI0C18755g	COQ1	Q6CBH3	Existing curated candidate/annotation and local crosswalk; pathway role checked where discussed, not new native-locus enzymology or sequence identity certification	archived_gene_evidence;local_crosswalk;see_REPORT	R763	https://identifiers.org/uniprot/Q6CBH3;https://identifiers.org/refseq/XP_501989.1;https://identifiers.org/ensembl/CAG82309;https://identifiers.org/kegg.genes/yli:2909963;https://identifiers.org/ec-code/2.5.1.-	curated annotation; native locus/activity limits in evidence_scope	COQ1（家族/候选名称；证据范围见 evidence_scope）	candidate polyprenyl diphosphate synthase
YALI1D00766g	YALI0D00737g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1D06302g	YALI0D04939g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062	https://identifiers.org/ncbigene/2910661;https://identifiers.org/uniprot/A0A1D8ND94;https://identifiers.org/kegg.genes/yli:2910661;https://identifiers.org/refseq/XP_502424.2	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1D07089g	YALI0D05467g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062	https://identifiers.org/ncbigene/2910292;https://identifiers.org/uniprot/Q9UUU3;https://identifiers.org/kegg.genes/yli:2910292;https://identifiers.org/refseq/XP_502444.1;https://identifiers.org/ec-code/1.6.99.3	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1D09203g	YALI0D07216g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062	https://identifiers.org/ncbigene/2910800;https://identifiers.org/uniprot/A0A1D8NDL1;https://identifiers.org/kegg.genes/yli:2910800;https://identifiers.org/refseq/XP_502521.2	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1D11769g	YALI0D09273g	Cytochrome c carrier, not cytochrome c1	Q6C9Q0	Model-to-accession plus official cytochrome-c family annotation; enzyme-subunit vs carrier distinction	S08;input_XML	R1;R2;R3;R303;R304;R305	https://identifiers.org/uniprot/Q6C9Q0;https://identifiers.org/refseq/XP_502612.1;https://identifiers.org/ensembl/CAG80800;https://identifiers.org/kegg.genes/yli:2910838	curated annotation; native locus/activity limits in evidence_scope	未核实基因符号（cytochrome c载体）	Cytochrome c carrier, not cytochrome c1
YALI1D18037g	YALI0D14850g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R78;R539;R1394;R1395;R1396;R2062;R2218;R2221;R2224;R2227;R2230;R2233	https://identifiers.org/ncbigene/2911329;https://identifiers.org/uniprot/A0A1H6PXT9;https://identifiers.org/kegg.genes/yli:2911329;https://identifiers.org/refseq/XP_502836.1	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1D24109g	YALI0D19030g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062	https://identifiers.org/ncbigene/2911149;https://identifiers.org/uniprot/A0A1H6Q8Z5;https://identifiers.org/kegg.genes/yli:2911149;https://identifiers.org/refseq/XP_503013.2	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1D32550g	YALI0D24585g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1E06573g	YALI0E05599g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1E18269g	YALI0E15224g	COQ7	Q6C5T9	Existing curated candidate/annotation and local crosswalk; pathway role checked where discussed, not new native-locus enzymology or sequence identity certification	archived_gene_evidence;local_crosswalk;see_REPORT	R695	https://identifiers.org/ncbigene/2911989;https://identifiers.org/uniprot/A0A1H6Q2E8;https://identifiers.org/kegg.genes/yli:2911989;https://identifiers.org/refseq/XP_503973.1;https://identifiers.org/ec-code/1.14.99.60	curated annotation; native locus/activity limits in evidence_scope	COQ7（家族/候选名称；证据范围见 evidence_scope）	candidate demethoxyubiquinone hydroxylase
YALI1E27218g	YALI0E23089g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1E37603g	YALI0E31766g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1E40361g	YALI0E34037g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R305	https://identifiers.org/uniprot/Q6C3K7;https://identifiers.org/refseq/XP_504755.1;https://identifiers.org/ensembl/CAG80361;https://identifiers.org/kegg.genes/yli:2911660	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1F01456g	YALI0F00924g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062	https://identifiers.org/ncbigene/2908425;https://identifiers.org/uniprot/Q9UUT8;https://identifiers.org/kegg.genes/yli:2908425;https://identifiers.org/refseq/XP_504841.1;https://identifiers.org/ec-code/1.6.99.3	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1F02758g	YALI0F01771g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R305	https://identifiers.org/ncbigene/2908158;https://identifiers.org/uniprot/A0A1H6Q1S4;https://identifiers.org/kegg.genes/yli:2908158;https://identifiers.org/refseq/XP_504875.1	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1F03371g	YALI0F02123g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1F08349g	YALI0F05610g	COQ2	Q6C2S2	Existing curated candidate/annotation and local crosswalk; pathway role checked where discussed, not new native-locus enzymology or sequence identity certification	archived_gene_evidence;local_crosswalk;see_REPORT	R407	https://identifiers.org/ncbigene/2907969;https://identifiers.org/uniprot/A0A1H6PM88;https://identifiers.org/uniprot/Q6C2S2;https://identifiers.org/kegg.genes/yli:2907969;https://identifiers.org/refseq/XP_505040.1;https://identifiers.org/ec-code/2.5.1.39	curated annotation; native locus/activity limits in evidence_scope	COQ2（家族/候选名称；证据范围见 evidence_scope）	candidate 4-hydroxybenzoate polyprenyltransferase
YALI1F09003g	YALI0F06050g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062	https://identifiers.org/ncbigene/2908426	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1F12013g	YALI0F08613g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R305	https://identifiers.org/uniprot/Q6C2E3;https://identifiers.org/refseq/XP_505169.2;https://identifiers.org/ensembl/CAG77976;https://identifiers.org/kegg.genes/yli:2908481	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1F22993g	YALI0F17248g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062	https://identifiers.org/ncbigene/2908424;https://identifiers.org/uniprot/Q9UUU1;https://identifiers.org/kegg.genes/yli:2908424;https://identifiers.org/refseq/XP_505527.1;https://identifiers.org/ec-code/1.6.99.3	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1F24343g	YALI0F18359g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1F32010g	YALI0F24673g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R305	https://identifiers.org/ncbigene/2908447;https://identifiers.org/uniprot/A0A1D8NPU9;https://identifiers.org/kegg.genes/yli:2908447;https://identifiers.org/refseq/XP_505838.2	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1F32476g	YALI0F25135g	NDH2: external alternative NADH dehydrogenase	F2Z699	Model/local locus mapping; native species NDH2 external orientation and retargeting experiments	S09;S10;S11	R570;R573;R2062	https://identifiers.org/uniprot/F2Z699;https://identifiers.org/refseq/XP_505856.1;https://identifiers.org/ensembl/CAG78667;https://identifiers.org/kegg.genes/yli:2908423;https://identifiers.org/ec-code/1.6.5.9	curated annotation; native locus/activity limits in evidence_scope	NDH2	NDH2: external alternative NADH dehydrogenase
YALI1F34625g	YALI0F27247g	COQ4	Q6C074	Existing curated candidate/annotation and local crosswalk; pathway role checked where discussed, not new native-locus enzymology or sequence identity certification	archived_gene_evidence;local_crosswalk;see_REPORT	R40	https://identifiers.org/uniprot/Q6C074;https://identifiers.org/refseq/XP_505938.1;https://identifiers.org/ensembl/CAG78750;https://identifiers.org/kegg.genes/yli:2907824;https://identifiers.org/ec-code/4.1.1.130	curated annotation; native locus/activity limits in evidence_scope	COQ4（家族/候选名称；证据范围见 evidence_scope）	candidate CoQ assembly/decarboxylation role; native mechanism unresolved
YALI1F34675g	YALI0F27313g	COQ9		Existing curated candidate/annotation and local crosswalk; pathway role checked where discussed, not new native-locus enzymology or sequence identity certification	archived_gene_evidence;local_crosswalk;see_REPORT		https://identifiers.org/ncbigene/2907842;https://identifiers.org/uniprot/A0A1D8NQ60;https://identifiers.org/kegg.genes/yli:2907842;https://identifiers.org/refseq/XP_505941.3	curated annotation; native locus/activity limits in evidence_scope	COQ9（家族/候选名称；证据范围见 evidence_scope）	candidate lipid binding/substrate presentation and COQ7 accessory function
YALI1M00056g	YALIfMp01	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1M00064g	YALIfMp02	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1M00296g	YALIfMp16	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1M00335g	YALIfMp19	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1M00338r		not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1M00390g	YALIfMp23	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R305		model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1M00458g	YALIfMp28	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
YALIfMp29		not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062		model/GPR assignment only	no established gene name	not individually resolved in this report
